what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319030756067
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319030774772
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319030788352
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319030791962
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319030797728
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319030803162
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1319030804746
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319030809376
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319030810331
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319030816170
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319030835240
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1319030838596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319030841526
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319030848400
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1319030850315
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319030867712
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319030872936
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319030876478
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319030877913
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319030885222
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319030885412
error,log,,,"Unhandled event loop exception",1319030885474
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319030937086
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319030958168
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319030967572
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319031020756
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319031043914
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319031055449
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319031094904
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319031095087
error,log,,,"Unhandled event loop exception",1319031095141
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1319031110615
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319031119305
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319031124097
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1319031127748
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1319031130490
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319031140162
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319031140312
error,log,,,"Unhandled event loop exception",1319031140358
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319031146947
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319031147131
error,log,,,"Unhandled event loop exception",1319031147238
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1319031170389
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319031177590
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319032952640
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319032953569
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319083233115
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319083234430
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319119340378
started,bundle,org.eclipse.wst.server.core,1.1.207.v20110401_1511,"org.eclipse.wst.server.core",1319119343075
started,bundle,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui",1319119343121
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1319119343193
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1319119343202
started,bundle,org.eclipse.photran.cdtinterface,6.0.0.201102161000,"org.eclipse.photran.cdtinterface",1319119343214
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.4.v201103310001,"org.eclipse.wst.jsdt.debug.ui",1319119343238
started,bundle,org.eclipse.wst.jsdt.core,1.1.5.v201104272136,"org.eclipse.wst.jsdt.core",1319119353251
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1319119353307
started,bundle,org.eclipse.wst.jsdt.ui,1.1.5.v201104070556,"org.eclipse.wst.jsdt.ui",1319119353309
opened,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1319119353501
activated,perspective,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.perspective",1319119353532
started,bundle,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.ui",1319119368217
started,bundle,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui",1319119368219
started,bundle,org.eclipse.wst.html.core,1.1.405.v201104191549,"org.eclipse.wst.html.core",1319119368274
started,bundle,org.eclipse.wst.xml.core,1.1.504.v201104070043,"org.eclipse.wst.xml.core",1319119368284
started,bundle,org.eclipse.wst.css.core,1.1.403.v201103021532,"org.eclipse.wst.css.core",1319119368361
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1319119368365
started,bundle,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.ui",1319119368418
started,bundle,org.eclipse.jst.jsp.core,1.2.305.v201104281428,"org.eclipse.jst.jsp.core",1319119368437
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1319119368462
started,bundle,org.eclipse.jst.jsf.common,1.2.2.v201101211220,"org.eclipse.jst.jsf.common",1319119368467
started,bundle,org.eclipse.jst.jsf.core,1.3.4.v201103181656,"org.eclipse.jst.jsf.core",1319119368471
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.0.v20100602,"org.eclipse.jst.jsf.facelet.ui",1319119368472
started,bundle,org.eclipse.jst.jsf.ui,1.3.1.v20100906,"org.eclipse.jst.jsf.ui",1319119368475
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.304.v201012160349,"org.eclipse.wst.jsdt.web.ui",1319119368481
started,bundle,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.ui",1319119368504
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1319119368524
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.305.v201103170144,"org.eclipse.wst.jsdt.web.core",1319119368547
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319119368709
started,bundle,org.eclipse.wst.validation,1.2.202.v201103212041,"org.eclipse.wst.validation",1319119371442
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1319119371530
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1319119371557
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319119371656
